,data_structure,sample,iteration,user,runtime
0,BWT-HMM,hypothetical_protein_test,0,Tad Berkery,21.635679483413696
1,BWT-HMM,hypothetical_protein_test,1,Tad Berkery,24.534736156463623
2,BWT-HMM,hypothetical_protein_test,2,Tad Berkery,22.21209740638733
3,BWT-HMM,hypothetical_protein_test,3,Tad Berkery,22.123934984207153
4,BWT-HMM,hypothetical_protein_test,4,Tad Berkery,24.798006296157837
5,BWT-HMM,hypothetical_protein_test,5,Tad Berkery,25.041104078292847
6,BWT-HMM,hypothetical_protein_test,6,Tad Berkery,25.087937593460083
7,BWT-HMM,hypothetical_protein_test,7,Tad Berkery,23.802157640457153
8,BWT-HMM,hypothetical_protein_test,8,Tad Berkery,25.7207248210907
9,BWT-HMM,hypothetical_protein_test,9,Tad Berkery,27.183936595916748
